id,feed_rate_kg_hr,reactor_temp_c,reduction_time_min,grind_micron,h2_recycle,heat_recovery,condenser_mode,oxygen_kg_hr,power_kw,h2_loss_kg_hr,complexity_score,thermal_margin_c,conversion,robustness_score,yield_retention,worst_oxygen_kg_hr,worst_thermal_margin_c,max_power_kw,max_h2_loss_kg_hr,rank_score,pareto
candidate_0012,5.0,850.0,30.0,100.0,False,False,low,0.048069115636363624,13.56,0.045,1.0,240.0,0.30918181818181817,0.8582615535889873,0.82,0.03941667482181817,234.6,15.6516,0.06075,-1.2584817705754179,False
candidate_0013,5.0,850.0,30.0,100.0,False,False,nominal,0.052758785454545445,13.69,0.045,1.2,240.0,0.30918181818181817,0.8585545004463924,0.82,0.04326220407272726,234.6,15.7816,0.06075,-1.2871543713750506,False
candidate_0014,5.0,850.0,30.0,100.0,False,False,high,0.05568982909090908,13.86,0.045,1.45,240.0,0.30918181818181817,0.8589292929292929,0.8199999999999998,0.04566565985454544,234.6,15.9516,0.06075,-1.3307813658989898,False
candidate_0015,5.0,850.0,30.0,100.0,False,True,low,0.048069115636363624,13.14,0.045,1.5,240.0,0.30918181818181817,0.857275494672755,0.82,0.03941667482181817,234.6,15.2316,0.06075,-1.2242622530581433,False
candidate_0016,5.0,850.0,30.0,100.0,False,True,nominal,0.052758785454545445,13.27,0.045,1.7,240.0,0.30918181818181817,0.857587373356778,0.82,0.04326220407272726,234.6,15.3616,0.06075,-1.2529083493005104,False
candidate_0017,5.0,850.0,30.0,100.0,False,True,high,0.05568982909090908,13.44,0.045,1.95,240.0,0.30918181818181817,0.8579861111111111,0.8199999999999998,0.04566565985454544,234.6,15.5316,0.06075,-1.2965018204444443,False
candidate_0018,5.0,850.0,30.0,100.0,True,False,low,0.048069115636363624,13.26,0.012,1.7,240.0,0.30918181818181817,0.8838524886877829,0.82,0.03941667482181817,234.6,15.3516,0.016200000000000003,-1.1916544614371043,True
candidate_0019,5.0,850.0,30.0,100.0,True,False,nominal,0.052758785454545445,13.389999999999999,0.012,1.9,240.0,0.30918181818181817,0.8841587752053772,0.82,0.04326220407272726,234.6,15.481599999999998,0.016200000000000003,-1.2203083867124715,True
candidate_0020,5.0,850.0,30.0,100.0,True,False,high,0.05568982909090908,13.559999999999999,0.012,2.15,240.0,0.30918181818181817,0.8845504424778761,0.8199999999999998,0.04566565985454544,234.6,15.651599999999998,0.016200000000000003,-1.2639117565309734,True
candidate_0021,5.0,850.0,30.0,100.0,True,True,low,0.048069115636363624,12.84,0.012,2.2,240.0,0.30918181818181817,0.8828205607476636,0.82,0.03941667482181817,234.6,14.9316,0.016200000000000003,-1.157499160553271,True
candidate_0022,5.0,850.0,30.0,100.0,True,True,nominal,0.052758785454545445,12.969999999999999,0.012,2.4000000000000004,240.0,0.30918181818181817,0.8831471087124133,0.82,0.04326220407272726,234.6,15.061599999999999,0.016200000000000003,-1.186124719802621,True
candidate_0023,5.0,850.0,30.0,100.0,True,True,high,0.05568982909090908,13.139999999999999,0.012,2.6500000000000004,240.0,0.30918181818181817,0.8835643835616438,0.8199999999999998,0.04566565985454544,234.6,15.231599999999998,0.016200000000000003,-1.2296922390136984,True
candidate_0024,5.0,850.0,30.0,200.0,False,False,low,0.04587837381818181,12.935,0.045,1.0,240.0,0.29509090909090907,0.8567709487608985,0.82,0.03762026653090908,234.6,15.0266,0.06075,-1.1528882493347423,False
candidate_0025,5.0,850.0,30.0,200.0,False,False,nominal,0.05035431272727272,13.065,0.045,1.2,240.0,0.29509090909090907,0.8570927414210998,0.82,0.04129053643636363,234.6,15.1566,0.06075,-1.1819906740104602,False
candidate_0026,5.0,850.0,30.0,200.0,False,False,high,0.053151774545454535,13.235,0.045,1.45,240.0,0.29509090909090907,0.8575040087310584,0.82,0.043584455127272714,234.6,15.3266,0.06075,-1.2258604837765184,False
candidate_0027,5.0,850.0,30.0,200.0,False,True,low,0.04587837381818181,12.515,0.045,1.5,240.0,0.29509090909090907,0.8556856216984063,0.82,0.03762026653090908,234.6,14.6066,0.06075,-1.1188077072222313,False
candidate_0028,5.0,850.0,30.0,200.0,False,True,nominal,0.05035431272727272,12.645,0.045,1.7,240.0,0.29509090909090907,0.8560292605773034,0.82,0.04129053643636363,234.6,14.7366,0.06075,-1.147879547191775,False
candidate_0029,5.0,850.0,30.0,200.0,False,True,high,0.053151774545454535,12.815,0.045,1.95,240.0,0.29509090909090907,0.8564681146226212,0.82,0.043584455127272714,234.6,14.9066,0.06075,-1.19171073552833,False
